"rnaID","classification","classification_live","notes","expID","pupID","litterID","dob.pups","dob.dam","chal.date","tail.marking","sex","age.challenge","dam.age.challenge","litter.size","chal.dose","chal.status","weight.challenge","v1.date","v1.time","v1.hour.post.challenge","v1.weight","v1.score.high","v1.score.low","v2.date","v2.time","v2.hour.post.challenge","v2.weight","v2.score.high","v2.score.low","blood.cfu.per.ml","spleen.cfu.per.g.tissue","liver.cfu.per.g.tissue","lung.cfu.per.g.tissue","rnaseq"
"mS18","live",0.991541644,,"2015-12-29.no.vac.rad","R1.m.G4.2015-12-21","G4.2015-12-21","12/21/2015","9/24/2015","12/29/2015","R1","m",8,96,8,0.75,"challenged",3.75,,,17.95,3.55,3,3,,,24.2,3.44,8,8,1025000,"NA",8565989.848,194516.4876,"yes"
"mS19","die",0.007178388,,"2015-12-30.no.vac.rad","F2.f.G6.2015-12-23","G6.2015-12-23","12/23/2015","9/9/2015","12/30/2015","F2","f",7,112,8,0.75,"challenged",3.97,,,18.25,3.75,6,3,,,25.17,3.64,2,2,6500000,11974789.92,47842401.5,1356589.147,"yes"
"mS20","die",0.001128409,,"2016-01-04.no.vac.rad","R3.f.G7.2015-12-28","G7.2015-12-28","12/28/2015","10/4/2015","1/4/2016","R3","f",7,92,8,0.75,"challenged",2.98,,,18.17,2.87,2,2,,,24.17,2.76,0,0,20500000,14880952.38,228658536.6,1239130.435,"yes"
"mS21","live",0.983328966,"sick control","2016-01-04.no.vac.rad","R4.m.G7.2015-12-28","G7.2015-12-28","12/28/2015","10/4/2015","1/4/2016","R4","m",7,92,8,0,"non challenged",3.83,,,18.17,4.22,6,5,,,24.17,4.12,8,8,0,0,9529.860229,0,"yes"
"mS22","live",0.998728823,"weight gain (chal)","2016-01-03.no.vac.rad","F1.m.G8.2015-12-26","G8.2015-12-26","12/26/2015","10/28/2015","1/3/2016","F1","m",8,67,5,0.75,"challenged",5.01,,,18.08,4.95,8,6,,,23.83,5.15,8,3,0,36407.76699,31690.14085,0,"yes"
"mS23","live",0.986737339,,"2016-01-03.no.vac.rad","F3.m.G8.2015-12-26","G8.2015-12-26","12/26/2015","10/28/2015","1/3/2016","F3","m",8,67,5,0.75,"challenged",4.72,,,18.08,4.39,6,6,,,23.83,4.37,8,8,1050000,10138888.89,3934817.17,979477.6119,"yes"
"mS24","live",0.872524398,,"2016-01-03.no.vac.rad","R2.m.G8.2015-12-26","G8.2015-12-26","12/26/2015","10/28/2015","1/3/2016","R2","m",8,67,5,0,"non challenged",4.75,,,18.08,5.47,7,7,,,23.83,5.56,3,3,0,0,0,0,"yes"
"mS25","live",0.735661841,,"2016-01-05.no.vac.rad","F4.m.G9.2015-12-28","G9.2015-12-28","12/28/2015","10/17/2015","1/5/2016","F4","m",8,80,8,0.75,"challenged",3.68,,,18.25,3.56,5,2,,,24,3.45,7,6,4750000,2576923.077,4779411.765,240899.3576,"yes"
"mS26","live",0.950994814,,"2016-01-07.no.vac.rad","F2.m.G2.2015-12-31","G2.2015-12-31","12/31/2015","10/29/2015","1/7/2016","F2","m",7,70,4,0.75,"challenged",3.72,,,18.08,3.63,5,3,,,24,3.44,8,5,50000,1142857.143,4130434.783,128865.9794,"yes"
"mS27","live",0.729277279,,"2016-01-21.no.vac.rad","F2.m.G2.2016-01-13","G2.2016-01-13","1/13/2016","9/2/2015","1/21/2016","F2","m",8,141,7,0.75,"challenged",3.69,,,18,3.62,5,3,,,23.92,3.52,7,6,7000000,183673469.4,135620915,"NA","yes"
"mS28","die",0.002759996,,"2016-01-21.no.vac.rad","F4.m.G2.2016-01-13","G2.2016-01-13","1/13/2016","9/2/2015","1/21/2016","F4","m",8,141,7,0.75,"challenged",3.77,,,18,3.69,7,6,,,23.92,3.59,3,3,1950000,23214285.71,194986072.4,"NA","yes"
"mS29","live",0.864488211,,"2015-12-29.no.vac.rad","R3.f.G4.2015-12-21","G4.2015-12-21","12/21/2015","9/24/2015","12/29/2015","R3","f",8,96,8,0.75,"challenged",3.95,,,17.95,3.67,7,7,,,24.2,3.61,7,6,1225000,722789.1156,1107594.937,0,"yes"
"mS30","die",0.008892256,,"2016-01-13.no.vac.rad","F2.f.G3.2016-01-06","G3.2016-01-06","1/6/2016","10/28/2015","1/13/2016","F2","f",7,77,7,0.75,"challenged",3.58,,,17.92,3.5,2,2,,,23.83,3.37,2,2,27500000,25301204.82,30368612.12,968100.8902,"yes"
"mS31","die",0.000916238,"too few reads","2016-01-17.no.vac.rad","F2.f.G5.2016-01-10","G5.2016-01-10","1/10/2016","11/28/2015","1/17/2016","F2","f",7,50,8,0.75,"challenged",3.6,,,18.17,3.42,6,3,,,23.67,3.35,0,0,57500000,94500000,"NA",30769230.77,"yes"
"mS32","die",0.256424475,,"2016-01-17.no.vac.rad","F3.m.G5.2016-01-10","G5.2016-01-10","1/10/2016","11/28/2015","1/17/2016","F3","m",7,50,8,0.75,"challenged",4.56,,,18.17,4.23,7,7,,,23.67,4.14,5,5,12500000,5704225.352,"NA",3000000,"yes"
"mS33","die",0.001666983,"too few reads","2016-01-17.no.vac.rad","R2.m.G5.2016-01-10","G5.2016-01-10","1/10/2016","11/28/2015","1/17/2016","R2","m",7,50,8,0.75,"challenged",4.47,,,18.17,4.24,7,6,,,23.67,4.13,5,0,17250000,32727272.73,20038167.94,26484751.2,"yes"
"mS34","die",0.046146146,"too few reads","2016-01-17.no.vac.rad","R3.f.G5.2016-01-10","G5.2016-01-10","1/10/2016","11/28/2015","1/17/2016","R3","f",7,50,8,0.75,"challenged",3.84,,,18.17,3.63,6,2,,,23.67,3.48,2,0,17750000,10677966.1,18633540.37,7733224.223,"yes"
"mS35","die",0.002373463,,"2016-01-17.no.vac.rad","R4.m.G5.2016-01-10","G5.2016-01-10","1/10/2016","11/28/2015","1/17/2016","R4","m",7,50,8,0.75,"challenged",4.57,,,18.17,4.42,7,5,,,23.67,4.3,5,3,13250000,86896551.72,23700305.81,2764976.959,"yes"
